Shadwell,940GZZDLSHA,
South Kenton,940GZZLUSKT,
Shepherd's Bush,940GZZLUSBC,
Stratford,940GZZLUSTD,
South Ruislip,940GZZLUSRP,
Seven Sisters,940GZZLUSVS,
Sydenham,910GSYDENHM,
Tottenham Court Road,940GZZLUTCR,
Tower Gateway,940GZZDLTWG,
Tottenham Hale,940GZZLUTMH,
Upminster,940GZZLUUPM,
Victoria,940GZZLUVIC,
Vauxhall,940GZZLUVXL,
Waterloo,940GZZLUWLO,
West Brompton,940GZZLUWBN,
West Croydon,910GWCROYDN,
West Ham,940GZZLUWHM,
Watford Junction,910GWATFJDC,
Walthamstow Central,940GZZLUWWL,
Willesden Junction,940GZZLUWJN,
Wimbledon,940GZZLUWIM,
Wembley Central,940GZZLUWYC,
West Ruislip,940GZZLUWRP,
Westminster,940GZZLUWSM,
Woolwich Arsenal,940GZZDLWLA,
Canada Water,940GZZLUCWR,
Farringdon,940GZZLUFCN,
Moorgate,940GZZLUMGT,
Whitechapel,940GZZLUWPL,
Nine Elms,940GZZNEUGST,
Battersea Power Station,940GZZBPSUST,
Woolwich,910GWOLWXR,
Barking Riverside,910GBKRVS,
